lengthx,lengthy,lengthz,batch,device,inlay,outlay,place,precision,label,GFLOPS
2,1,1,16777216,g,1,1,in,double,clFFT1D_2.6,40.0275
4,1,1,8388608,g,1,1,in,double,clFFT1D_2.6,81.2218
8,1,1,4194304,g,1,1,in,double,clFFT1D_2.6,122.268
16,1,1,2097152,g,1,1,in,double,clFFT1D_2.6,146.554
32,1,1,1048576,g,1,1,in,double,clFFT1D_2.6,142.564
64,1,1,524288,g,1,1,in,double,clFFT1D_2.6,255.158
128,1,1,262144,g,1,1,in,double,clFFT1D_2.6,226.868
256,1,1,131072,g,1,1,in,double,clFFT1D_2.6,339.785
512,1,1,65536,g,1,1,in,double,clFFT1D_2.6,380.501
1024,1,1,32768,g,1,1,in,double,clFFT1D_2.6,353.783
2048,1,1,16384,g,1,1,in,double,clFFT1D_2.6,355.406
4096,1,1,8192,g,1,1,in,double,clFFT1D_2.6,220.831
8192,1,1,4096,g,1,1,in,double,clFFT1D_2.6,221.184
16384,1,1,2048,g,1,1,in,double,clFFT1D_2.6,250.442
32768,1,1,1024,g,1,1,in,double,clFFT1D_2.6,215.115
65536,1,1,512,g,1,1,in,double,clFFT1D_2.6,196.085
131072,1,1,256,g,1,1,in,double,clFFT1D_2.6,177.969
262144,1,1,128,g,1,1,in,double,clFFT1D_2.6,183.749
524288,1,1,64,g,1,1,in,double,clFFT1D_2.6,175.629
1048576,1,1,32,g,1,1,in,double,clFFT1D_2.6,146.653
2097152,1,1,16,g,1,1,in,double,clFFT1D_2.6,144.641
4194304,1,1,8,g,1,1,in,double,clFFT1D_2.6,147.301
8388608,1,1,4,g,1,1,in,double,clFFT1D_2.6,115.146
16777216,1,1,2,g,1,1,in,double,clFFT1D_2.6,110.471
