lengthx,lengthy,lengthz,batch,device,inlay,outlay,place,precision,label,GFLOPS
2,2,1,8388608,g,1,1,in,single,clFFT2D_2.6,73.8863
4,4,1,2097152,g,1,1,in,single,clFFT2D_2.6,154.754
8,8,1,524288,g,1,1,in,single,clFFT2D_2.6,243.805
16,16,1,131072,g,1,1,in,single,clFFT2D_2.6,328.784
32,32,1,32768,g,1,1,in,single,clFFT2D_2.6,379.601
64,64,1,8192,g,1,1,in,single,clFFT2D_2.6,314.629
128,128,1,2048,g,1,1,in,single,clFFT2D_2.6,360.231
256,256,1,512,g,1,1,in,single,clFFT2D_2.6,166.78
512,512,1,128,g,1,1,in,single,clFFT2D_2.6,297.307
1024,1024,1,32,g,1,1,in,single,clFFT2D_2.6,304.312
2048,2048,1,8,g,1,1,in,single,clFFT2D_2.6,318.457
4096,4096,1,2,g,1,1,in,single,clFFT2D_2.6,308.812
