lengthx,lengthy,lengthz,batch,device,inlay,outlay,place,precision,label,GFLOPS
2,1,1,8388608,g,5,3,in,double,clFFT1D_2.6,14.0024
4,1,1,4194304,g,5,3,in,double,clFFT1D_2.6,35.5083
8,1,1,2097152,g,5,3,in,double,clFFT1D_2.6,82.012
16,1,1,1048576,g,5,3,in,double,clFFT1D_2.6,107.0085
32,1,1,524288,g,5,3,in,double,clFFT1D_2.6,128.5305
64,1,1,262144,g,5,3,in,double,clFFT1D_2.6,224.9175
128,1,1,131072,g,5,3,in,double,clFFT1D_2.6,217.2845
256,1,1,65536,g,5,3,in,double,clFFT1D_2.6,318.731
512,1,1,32768,g,5,3,in,double,clFFT1D_2.6,302.7885
1024,1,1,16384,g,5,3,in,double,clFFT1D_2.6,270.694
2048,1,1,8192,g,5,3,in,double,clFFT1D_2.6,244.8945
4096,1,1,4096,g,5,3,in,double,clFFT1D_2.6,96.934
8192,1,1,2048,g,5,3,in,double,clFFT1D_2.6,51.7095
16384,1,1,1024,g,5,3,in,double,clFFT1D_2.6,65.2255
32768,1,1,512,g,5,3,in,double,clFFT1D_2.6,76.0235
65536,1,1,256,g,5,3,in,double,clFFT1D_2.6,93.041
131072,1,1,128,g,5,3,in,double,clFFT1D_2.6,97.4785
262144,1,1,64,g,5,3,in,double,clFFT1D_2.6,98.3995
524288,1,1,32,g,5,3,in,double,clFFT1D_2.6,100.0525
1048576,1,1,16,g,5,3,in,double,clFFT1D_2.6,94.2235
2097152,1,1,8,g,5,3,in,double,clFFT1D_2.6,92.7895
4194304,1,1,4,g,5,3,in,double,clFFT1D_2.6,89.985
