lengthx,lengthy,lengthz,batch,device,inlay,outlay,place,precision,label,GFLOPS
2,1,1,8388608,g,5,3,in,single,clFFT1D_2.6,34.1305
4,1,1,4194304,g,5,3,in,single,clFFT1D_2.6,90.9585
8,1,1,2097152,g,5,3,in,single,clFFT1D_2.6,125.277
16,1,1,1048576,g,5,3,in,single,clFFT1D_2.6,219.2965
32,1,1,524288,g,5,3,in,single,clFFT1D_2.6,194.6665
64,1,1,262144,g,5,3,in,single,clFFT1D_2.6,431.73
128,1,1,131072,g,5,3,in,single,clFFT1D_2.6,445.3705
256,1,1,65536,g,5,3,in,single,clFFT1D_2.6,638.46
512,1,1,32768,g,5,3,in,single,clFFT1D_2.6,668.6
1024,1,1,16384,g,5,3,in,single,clFFT1D_2.6,738.26
2048,1,1,8192,g,5,3,in,single,clFFT1D_2.6,783.31
4096,1,1,4096,g,5,3,in,single,clFFT1D_2.6,487.8415
8192,1,1,2048,g,5,3,in,single,clFFT1D_2.6,112.0415
16384,1,1,1024,g,5,3,in,single,clFFT1D_2.6,134.027
32768,1,1,512,g,5,3,in,single,clFFT1D_2.6,163.1195
65536,1,1,256,g,5,3,in,single,clFFT1D_2.6,195.164
131072,1,1,128,g,5,3,in,single,clFFT1D_2.6,210.9695
262144,1,1,64,g,5,3,in,single,clFFT1D_2.6,215.927
524288,1,1,32,g,5,3,in,single,clFFT1D_2.6,225.0265
1048576,1,1,16,g,5,3,in,single,clFFT1D_2.6,187.0255
2097152,1,1,8,g,5,3,in,single,clFFT1D_2.6,194.0675
4194304,1,1,4,g,5,3,in,single,clFFT1D_2.6,193.9135
8388608,1,1,2,g,5,3,in,single,clFFT1D_2.6,182.1115
16777216,1,1,1,g,5,3,in,single,clFFT1D_2.6,170.7285
