lengthx,lengthy,lengthz,batch,device,inlay,outlay,place,precision,label,GFLOPS
2,1,1,16777216,g,1,1,in,single,cuFFT1D,57.417066
4,1,1,8388608,g,1,1,in,single,cuFFT1D,112.284839
8,1,1,4194304,g,1,1,in,single,cuFFT1D,167.42753
16,1,1,2097152,g,1,1,in,single,cuFFT1D,223.01212
32,1,1,1048576,g,1,1,in,single,cuFFT1D,280.25624
64,1,1,524288,g,1,1,in,single,cuFFT1D,340.974729
128,1,1,262144,g,1,1,in,single,cuFFT1D,393.559297
256,1,1,131072,g,1,1,in,single,cuFFT1D,443.052168
512,1,1,65536,g,1,1,in,single,cuFFT1D,508.837809
1024,1,1,32768,g,1,1,in,single,cuFFT1D,565.195013
2048,1,1,16384,g,1,1,in,single,cuFFT1D,615.589675
4096,1,1,8192,g,1,1,in,single,cuFFT1D,686.664408
8192,1,1,4096,g,1,1,in,single,cuFFT1D,453.598643
16384,1,1,2048,g,1,1,in,single,cuFFT1D,400.493769
32768,1,1,1024,g,1,1,in,single,cuFFT1D,422.59182
65536,1,1,512,g,1,1,in,single,cuFFT1D,420.857829
131072,1,1,256,g,1,1,in,single,cuFFT1D,397.358856
262144,1,1,128,g,1,1,in,single,cuFFT1D,334.527752
524288,1,1,64,g,1,1,in,single,cuFFT1D,351.140673
1048576,1,1,32,g,1,1,in,single,cuFFT1D,359.615475
2097152,1,1,16,g,1,1,in,single,cuFFT1D,376.128268
4194304,1,1,8,g,1,1,in,single,cuFFT1D,393.90095
8388608,1,1,4,g,1,1,in,single,cuFFT1D,403.230912
16777216,1,1,2,g,1,1,in,single,cuFFT1D,422.502973
